Episode,Chapter,Index,Name,Text
The first turnabout,1,0,Phoenix,(Boy am I nervous!)
The first turnabout,1,1,Mia,Wright!
The first turnabout,1,2,Phoenix,"Oh, h-hiya, Chief."
The first turnabout,1,3,Mia,"Whew, I'm glad I made it on time. Well, I have to say Phoenix, I'm impressed! Not everyone takes on a murder trial right off the bat like this. It says a lot about you... and your client as well."
The first turnabout,1,4,Phoenix,"Um... thanks. Actually, it's because I owe him a favor."
The first turnabout,1,5,Mia,"A favor? You mean, you knew the defendant before this case?"
The first turnabout,1,6,Phoenix,"Yes. Actually, I kind of owe my current job to him. He's one of the reasons I became an attorney."
The first turnabout,1,7,Mia,"Well, that's news to me!"
The first turnabout,1,8,Phoenix,"I want to help him out any way I can! I just... really want to help him, I owe him that much."
The first turnabout,1,9,Butz,"(It's over! My life, everything, it's all over!)"
The first turnabout,1,10,Mia,... Isn't that your client screaming over there?
The first turnabout,1,11,Phoenix,Yeah... that's him.
The first turnabout,1,12,Butz,"(Death! Despair! Ohhhh! I'm gonna do it, I'm gonna die!!!)"
The first turnabout,1,13,Mia,It sounds like he wants to die...
The first turnabout,1,14,Phoenix,"Um, yeah. *sigh*"
The first turnabout,1,15,Butz,Nick!!!
The first turnabout,1,16,Phoenix,"Hey. Hey there, Larry."
The first turnabout,1,17,Butz,"Dude, I'm so guilty!! Tell them I'm guilty!!! Gimme the death sentence! I ain't afraid to die!"
The first turnabout,1,18,Phoenix,"What!? What's wrong, Larry?"
The first turnabout,1,19,Butz,"Oh, it's all over... I... I'm finished. Finished! I can't live in a world without her! I can't! Who... who took her away from me, Nick? Who did this!? Aww, Nick, ya gotta tell me! Who took my baby away!?"
The first turnabout,1,20,Phoenix,(Hmm... The person responsible for your girlfriend's death? The newspapers say it was you...)
The first turnabout,1,21,Judge,The court is now in session for the trial of Mr. Larry Butz.
The first turnabout,1,22,Payne,"The prosecution is ready, Your Honor."
The first turnabout,1,23,Phoenix,"The, um, defense is ready, Your Honor."
The first turnabout,1,24,Judge,"Ahem. Mr. Wright? This is your first trial, is it not?"
The first turnabout,1,25,Phoenix,"Y-Yes, Your Honor. I'm, um, a little nervous."
The first turnabout,1,26,Judge,"Your conduct during this trial will decide the fate of your client. Murder is a serious charge. For your client's sake, I hope you can control your nerves."
The first turnabout,1,27,Phoenix,"Thank... thank you, Your Honor."
The first turnabout,1,28,Judge,"... Mr. Wright, given the circumstances... I think we should have a test to ascertain your readiness."
The first turnabout,1,29,Phoenix,Y-Your Honor. (Gulp... Hands shaking... Eyesight... fading...)
The first turnabout,1,30,Judge,This test will consist of a few simple questions. Answer them clearly and concisely. Please state the name of the defendant in this case.
The first turnabout,1,31,Phoenix,"The defendant? Well, that's Larry Butz, Your Honor."
The first turnabout,1,32,Judge,"Correct. Just keep your wits about you and you'll do fine. Next question: This is a murder trial. Tell me, what's the victim's name?"
The first turnabout,1,33,Phoenix,"(Whew, I know this one! Glad I read the case report cover to cover so many times. It's... wait... Uh-oh! No... no way! I forgot! I'm drawing a total blank here!)"
The first turnabout,1,34,Mia,Phoenix! Are you absolutely SURE you're up to this? You don't even know the victim's name!?
The first turnabout,1,35,Phoenix,"Oh, the victim! O-Of course I know the victim's name! I, um, just forgot. ... Temporarily."
The first turnabout,1,36,Mia,"I think I feel a migraine coming on. Look, the victim's name is listed in the Court Record. Just touch the Court Record button to check it at anytime, okay? Remember to check it often. Do it for me, please. I'm begging you."
The first turnabout,1,37,Judge,Mr. Wright. Who is the victim in this case?
The first turnabout,1,38,Phoenix,Um... the victim's name is Cindy Stone.
The first turnabout,1,39,Judge,"Correct. Now, tell me, what was the cause of death? She died because she was...?"
The first turnabout,1,40,Phoenix,"She was struck once, by a blunt object."
The first turnabout,1,41,Judge,"Correct. You've answered all my questions. I see no reason why we shouldn't proceed. You seem much more relaxed, Mr. Wright. Good for you."
The first turnabout,1,42,Phoenix,"Thank you, Your Honor. (Because I don't FEEL relaxed, that's for sure.)"
The first turnabout,1,43,Judge,"Well, then... First, a question for the prosecution. Mr. Payne?"
The first turnabout,1,44,Payne,"Yes, Your Honor?"
The first turnabout,1,45,Judge,"As Mr. Wright just told us, the victim was struck with a blunt object. Would you explain to the court just what that ""object"" was?"
The first turnabout,1,46,Payne,"The murder weapon was this statue of ""The Thinker."" It was found lying on the floor, next to the victim."
The first turnabout,1,47,Judge,I see... the court accepts it into evidence.
